ZEB 102	Introductory Zoology	2
ZEB 122	Parasitology for Medical Students	2	
ZEB 172	Introductory Environmental Biology	2	
ZEB 202	General Invertebrate Zoology II	2	
ZEB 272	Environmental Health Biology	2	
ZEB 276	Ecotoxicology and Environmental Safety	2	
ZEB 312	Basic Physiology Practical	2	
ZEB 402	Ethology	2	
ZEB 404	Small Animal Production	2
ZEB 412	Animal Physiology II	2
ZEB 422	Animal Parasitology	2
ZEB 432	Entomology II	2
ZEB 442	Fisheries Biology II	2
ZEB 452	Animal Ecology	2	
ZEB 454	Animal Biodiversity Management and Prospecting	2
ZEB 462	Animal Molecular Biology and Bioinformatics	2
ZEB 464	Advanced Animal Biotechnology II	2
ZEB 468	Population Genetics	2	
ZEB 472	Environmental Impact Assessment	2	
ZEB 490	Research Project	6	
EDU	101	Introduction to Education	  2
EDU	211	Educational Psychology	  2
VTE	101	Foundations of Technology Education	  2
VTE	131	Basic Keyboarding I	  2
VTE	133	Shorthand I	  2
ECO	101	Principles of Economics I	  2
ACC	101	Elements of Accounting I	  3
COS	101	Introduction to Computer Science	  2
GSP	105	Natural Science I	  2
GSP	101	Use of English	  2
VTE	132	Basic Keyboarding II	2
VTE	134	Shorthand II	2
VTE	136	Elements of Business	3
VTE	138	Principles of Bus. & Marketing    Education	2
ECO	102	Principles of Economics II	2
ACC	102	Elements of Accounting II	3
COS	102	Introduction to Computer Science II	2
GSP	102	Use of English II	2
GSP	106	Natural Science II	2
EDU    221	Curriculum Theory and Planning	3
VTE     231	Word Processing I	2
VTE     233	Advanced Shorthand I	2
VTE     235	Risk Management	2
ACC    201	Introduction to Financial Accounting	3
ECO     201	Micro-Economic Theory	2
MKT 201	Elements of Marketing	3
STA     201	Statistics for Social Science I	2
GSP     201	The Social Sciences I	2
GSP     207	Humanities     I	2
EDU	224	Educational Technology	  2
VTE	232	Word Processing II	  2
VTE	234	Advanced Shorthand II	  2
VTE	236	Methodology in Business Education	  2
VTE	238	Business Communication	  3
ACC	202	Introduction to Financial Accounting II	  3
ECO	202	Micro-Economic Theory II	  2
STA	202	Statistics for Social Science II	 2
GSP	202	Issues in Peace and Conflict	  2
GSP	208	Humanities II	  2
EDU	325	Teaching Practice I	     3
VTE	201	Industrial Work Experience I	     1
VTE	331	Business Organization	     2
VTE	333	Business Law & Government Regulations	     2
VTE	334	Small Scale Business Management	     2
ACC	351	Fundamentals of Government Accounting	     3
MKT	301	Nigeria Marketing System & Commercial Policy	     3
CED	341	Introduction to Entrepreneurship	     2
EDU	312	Educational Psychology II	2
EDU	321	Curriculum Implementation & Instruction	3
VTE	302	Industrial Work Experience II	6
VTE	304	Research Design in Technical Education	2
VTE	332	Transcription	3
VTE	336	Human Resource Development	2
COS	304	Computer Applications	3
CED	342	Business Development & Management	2
VTE	401	Vocational Guidance	  2
VTE	433	Seminar in Business Education	  2
VTE	434	Office Technology	  2
EDU	411	Educational Psychology III	  2
EDU	425	Teaching Practice II	  3
ACC	311	Cost Accounting I	  3
ACC	421	Auditing and Investigation	  3
MKT	321	Principles of Advertising	  2
MKT	431	Retail and Wholesale Management	  2
VTE   402		Administration of Technology Education	2
VTE   431		Administrative Office management	3
VTE   432		Consumer Economics	2
VTE   424		Spreadsheet Processing	2
EDU   441		Measurement and Evaluation	2
ACC   312		Cost Accounting II	3
VTE   491		Project	4
MKT  352		Consumer Behaviour Analysis	3
MKT  331		Sales Management	2
EDU	221	Curriculum Theory and Planning	3
VTE	101	Foundation of Technology Education	2
VTE	231	Word Processing I	2
ACC	101	Elements of Financial Accounting I	3
MKT	201	Elements of Marketing	3
ECO	201	Micro-Economic Theory I	2
STA	201	Statistics for Social Sciences I	2
GSP	101	The use of English	2
GSP	105	Introduction to Natural Science	2
GSP	201	The Social Sciences I	2
VTE	232	Word Processing II	2
VTE	234	Advanced Shorthand II	2
VTE	236	Methodology in Business Education	2
VTE	238	Business Communication	3
ACC	102	Elements of Financial Accounting II	3
ECO	202	Micro-Economics Theory II	2
STA	202	Statistics for Social Sciences II	2
GSP	102	The Use of English II	2
GSP	106	Natural Science II	2
GSP	202	Issues in Peace and Conflict Resolution II	2
EDU    325	Teaching Practice I	2
VTE    235	Risk Management	2
VTE    331	Business Organization	2
VTE    333	Business Law & Government Regulations	2
VTE    334	Small Scale Business Management	2
ACC    201	Introduction to Financial Accounting I	3
MKT   301	Nigerian Marketing System & Comm.Policy	3
ACC    351	Fundamentals of Government Accounting	3
CED    341	Introduction of Entrepreneurship	2
EDU	321	 	Curriculum Implementation and Instruction	3
EDU	312	 	Educational Psychology II	2
EDU	224	 	Educational Technology	2
VTE	302	 	Industrial Work Experience (SIWES) II	6
VTE	304	 	Research Design in Technology Education	2
ACC	202	 	Introduction to Financial Accounting II	3
VTE	336	 	Human Resources Development	2
COS	304	 	Computer Applications	2
CED	342	 	Business Development and Management	2
EDU    411	Educational Psychology III	2
EDU    425	Teaching Practice II	3
VTE    401	Vocational Guidance	2
VTE    433	Seminar in Business Education	2
VTE    434	Office Technology	2
ACC    311	Cost Accounting I	3
ACC    421	Auditing and Investigation I	3
MKT   321	Principles of Advertising	2
MKT   431
EDU	441	 	Measurement and Evaluation	2
VTE	402	 	Administration of Technology Education	2
VTE	432	 	Consumer Economics	2
VTE	431	 	Administrative Office management	3
VTE	491	 	Project	 4
VTE	424	 	Spreadsheet Processing	2
ACC	312	 	Cost Accounting II	3
 
 MKT	331	Sales Management	2
 
 MKT	352	Consumer Behaviour Analysis	3
CHM   101                  Basic Principles of Chemistry I                                              2
CHM   171                  Basic Practical Chemistry                                                       2
